"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"2015","CHW","76","86","37","576","162","1452.2","8.42","2.94","1.00",".311","72.9%","45.2%","11.4%","93.1","3.98","","3.82","3.81","17.4"
"2014","OAK","88","74","31","603","162","1463.1","7.65","2.50","0.90",".272","75.9%","45.6%","10.0%","93.0","3.22","","3.67","3.60","17.4"
"2005","SDP","82","80","45","618","162","1455.1","7.01","3.11","0.90",".295","71.0%","43.0%","9.2%","","4.13","","3.90","4.10","17.4"
"2011","SEA","67","95","39","513","162","1433.0","6.83","2.74","0.91",".285","71.4%","43.8%","9.1%","92.3","3.91","","3.84","3.92","17.4"
"2005","NYM","83","79","38","554","162","1435.2","6.34","3.08","0.85",".283","73.7%","44.2%","8.8%","","3.77","","3.98","4.23","17.4"
"2011","NYY","97","65","47","627","162","1458.1","7.54","3.13","0.94",".297","75.0%","44.2%","9.9%","92.9","3.73","","3.87","3.84","17.3"
"2021","PHI","82","80","36","687","162","1418.2","9.39","3.23","1.27",".296","71.4%","45.4%","14.7%","94.1","4.39","","4.15","4.02","17.3"
"2011","SFG","86","76","52","642","162","1468.0","8.07","3.43","0.59",".283","74.4%","46.4%","6.9%","92.2","3.21","","3.33","3.66","17.3"
"2006","COL","76","86","34","661","162","1447.1","5.92","3.44","0.96",".304","69.5%","45.7%","9.6%","","4.66","","4.51","4.68","17.3"
"2013","STL","97","65","44","645","162","1459.2","7.73","2.78","0.69",".297","74.5%","48.5%","8.5%","94.1","3.43","","3.39","3.63","17.3"
"2000","DET","79","83","44","591","162","1443.1","6.10","3.09","1.10",".306","69.2%","","","","4.73","","4.50","","17.3"
"2010","MIN","94","68","40","627","162","1452.2","6.49","2.37","0.96",".299","73.4%","44.7%","9.2%","92.1","3.95","","3.91","3.93","17.3"
"2022","CHW","81","81","48","711","162","1447.2","9.01","3.31","1.03",".295","71.2%","41.5%","10.5%","94.5","3.94","","3.81","3.93","17.3"
"2006","NYY","97","65","43","651","162","1443.2","6.35","3.09","1.06",".289","70.3%","43.3%","9.6%","","4.43","","4.42","4.61","17.3"
"2013","WSN","86","76","47","602","162","1445.2","7.69","2.52","0.88",".291","73.6%","45.0%","9.8%","94.0","3.59","","3.55","3.64","17.3"
"2007","CHW","72","90","42","625","162","1440.2","6.34","3.12","1.09",".304","68.2%","42.9%","9.8%","91.2","4.77","","4.56","4.54","17.2"
"2014","KCR","89","73","53","613","162","1450.2","7.25","2.73","0.79",".292","73.9%","43.1%","8.2%","94.0","3.51","","3.69","3.88","17.2"
"2006","OAK","93","69","54","606","162","1451.2","6.22","3.28","1.00",".301","73.4%","42.6%","9.2%","","4.22","","4.42","4.67","17.2"
"2001","NYM","82","80","48","559","162","1445.2","7.41","2.73","1.16",".290","72.4%","","","","4.08","","4.07","","17.2"
"2016","CHW","78","84","43","643","162","1446.2","7.90","3.24","1.15",".298","74.0%","43.1%","12.0%","93.1","4.12","","4.27","4.38","17.1"
"2018","COL","91","72","51","681","163","1452.1","8.73","3.25","1.14",".299","71.3%","45.2%","13.5%","93.4","4.33","","4.06","3.96","17.1"
"2000","OAK","91","70","43","542","161","1435.1","6.04","3.86","0.99",".301","70.1%","","","","4.58","","4.61","","17.1"
"2017","MIL","86","76","54","712","162","1445.2","8.38","3.44","1.15",".298","74.8%","45.7%","13.5%","93.5","4.00","","4.24","4.26","17.1"
"2022","TOR","92","70","46","746","162","1441.1","8.68","2.65","1.12",".295","73.4%","41.4%","11.4%","93.8","3.89","","3.85","3.84","17.0"
"2007","OAK","76","86","36","608","162","1448.0","6.44","3.29","0.86",".296","69.4%","44.8%","8.3%","90.3","4.30","","4.23","4.44","17.0"
"2022","LAA","73","89","38","652","162","1435.2","8.67","3.39","1.05",".276","73.0%","42.2%","11.1%","94.1","3.79","","3.96","4.00","17.0"
"2012","NYY","95","67","51","647","162","1445.1","8.21","2.68","1.18",".296","75.1%","44.9%","13.0%","92.3","3.85","","3.98","3.75","17.0"
"2009","DET","86","77","42","602","163","1447.0","6.85","3.69","1.13",".293","73.2%","42.7%","10.6%","94.4","4.34","","4.53","4.45","17.0"
"2008","NYY","89","73","42","637","162","1441.2","7.12","3.05","0.89",".307","71.0%","45.7%","9.3%","91.7","4.28","","3.96","4.08","16.9"
"2019","CHC","84","78","38","738","162","1442.0","9.01","3.33","1.22",".300","74.1%","45.9%","15.0%","92.4","4.10","","4.25","4.29","16.9"
"2021","CIN","83","79","41","741","162","1434.1","9.56","3.87","1.29",".297","72.6%","44.2%","14.8%","94.3","4.41","","4.34","4.18","16.9"
"2021","HOU","95","67","34","674","162","1445.0","9.07","3.42","1.16",".275","75.1%","44.7%","13.6%","93.2","3.80","","4.12","4.12","16.9"
